pipeline,type,segment_id,start,length,AVG,pvalue,class
pvalue,null,0,0,840,29.881,0.177006,unknown
pvalue,null,1,840,840,32.1429,0.00617362,unknown
pvalue,null,2,1680,840,35.7143,1.59959e-09,unknown
pvalue,null,3,2520,840,30.4762,0.0139757,unknown
pvalue,null,4,3360,840,34.6429,1.22413e-08,unknown
pvalue,null,5,4200,840,30.4762,0.0648445,unknown
pvalue,null,6,5040,840,38.2143,1.52229e-15,unknown
pvalue,null,7,5880,840,42.5,1.61339e-25,unknown
pvalue,null,8,6720,840,43.3333,6.63083e-28,unknown
pvalue,null,9,7560,840,36.5476,1.13516e-10,unknown
pvalue,null,10,8400,840,34.5238,4.88633e-08,unknown
pvalue,null,11,9240,840,42.0238,2.8268e-24,unknown
pvalue,null,12,10080,840,29.7619,0.055633,unknown
pvalue,null,13,10920,840,30.8333,0.122569,unknown
pvalue,null,14,11760,840,35.4762,8.74916e-06,unknown
pvalue,null,15,12600,840,31.6667,0.00660815,unknown
pvalue,null,16,13440,840,29.1667,0.157683,unknown
pvalue,null,17,14280,840,30.9524,0.0367434,unknown
pvalue,null,18,15120,840,31.0714,0.00854627,unknown
pvalue,null,19,15960,840,32.0238,0.00572349,unknown
pvalue,null,20,16800,840,30.2381,0.162091,unknown
pvalue,null,21,17640,840,31.0714,0.161555,unknown
pvalue,null,22,18480,840,32.381,0.0041087,unknown
pvalue,null,23,19320,840,32.7381,0.00238946,unknown
pvalue,null,24,20160,840,32.7381,1.78217e-05,unknown
pvalue,null,25,21000,840,30,0.128535,unknown
pvalue,null,26,21840,840,33.6905,2.53266e-06,unknown
pvalue,null,27,22680,840,37.2619,1.36375e-12,unknown
pvalue,null,28,23520,840,31.7857,0.000183714,unknown
pvalue,null,29,24360,840,32.8571,0.00222559,unknown
pvalue,null,30,25200,840,32.8571,5.22957e-05,unknown
pvalue,null,31,26040,840,31.1905,0.0453616,unknown
pvalue,null,32,26880,840,31.0714,0.00593651,unknown
pvalue,null,33,27720,840,36.3095,5.76859e-11,unknown
pvalue,null,34,28560,840,31.0714,0.0874754,unknown
pvalue,null,35,29400,840,33.3333,1.02388e-05,unknown
pvalue,null,36,30240,840,29.7619,0.110896,unknown
pvalue,null,37,31080,840,30.9524,0.0545113,unknown
pvalue,null,38,31920,840,33.8095,8.95141e-07,unknown
pvalue,null,39,32760,840,30.8333,0.00821292,unknown
pvalue,null,40,33600,840,29.6429,0.0353793,unknown
pvalue,null,41,34440,840,30.5952,0.384005,unknown
pvalue,null,42,35280,840,33.5714,9.0506e-06,unknown
pvalue,null,43,36120,840,31.6667,0.036091,unknown
pvalue,null,44,36960,840,30.9524,0.0224317,unknown
pvalue,null,45,37800,840,33.9286,0.00085138,unknown
pvalue,null,46,38640,840,35.4762,6.97649e-07,unknown
pvalue,null,47,39480,840,42.381,3.59683e-26,unknown
pvalue,null,48,40320,840,42.2619,6.79405e-22,unknown
pvalue,null,49,41160,840,45.2381,1.95046e-316,unknown
pvalue,null,50,42000,840,35.4762,2.29332e-09,unknown
pvalue,null,51,42840,840,33.8095,1.31579e-05,unknown
pvalue,null,52,43680,840,44.0476,4.03021e-31,unknown
pvalue,null,53,44520,840,31.0714,0.0102218,unknown
pvalue,null,54,45360,840,29.4048,0.562518,unknown
pvalue,null,55,46200,840,30.7143,0.0331867,unknown
pvalue,null,56,47040,840,32.381,0.0280819,unknown
pvalue,null,57,47880,840,31.6667,0.00536371,unknown
pvalue,null,58,48720,840,28.9286,0.225996,unknown
pvalue,null,59,49560,840,30.9524,0.00394106,unknown
pvalue,null,60,50400,840,31.1905,0.030997,unknown
pvalue,null,61,51240,840,29.2857,0.236154,unknown
pvalue,null,62,52080,840,32.381,2.2958e-05,unknown
pvalue,null,63,52920,840,31.1905,0.0567687,unknown
pvalue,null,64,53760,840,31.3095,0.00179188,unknown
pvalue,null,65,54600,840,32.0238,0.00559692,unknown
pvalue,null,66,55440,840,30.4762,0.0136646,unknown
pvalue,null,67,56280,840,41.9048,4.31582e-22,unknown
pvalue,null,68,57120,840,33.9286,0.000163109,unknown
pvalue,null,69,57960,840,33.8095,2.5841e-05,unknown
pvalue,null,70,58800,840,33.2143,6.09427e-06,unknown
pvalue,null,71,59640,840,34.881,9.24519e-08,unknown
pvalue,null,72,60480,840,29.881,0.169744,unknown
pvalue,null,73,61320,840,35.119,4.03106e-07,unknown
pvalue,null,74,62160,840,35.8333,3.1334e-09,unknown
pvalue,null,75,63000,840,30.9524,0.00449123,unknown
pvalue,null,76,63840,840,31.9048,0.000227511,unknown
pvalue,null,77,64680,840,31.0714,0.00142888,unknown
pvalue,null,78,65520,840,31.0714,0.0151159,unknown
pvalue,null,79,66360,840,35.9524,1.28153e-10,unknown
pvalue,null,80,67200,840,32.7381,0.000225152,unknown
